max iter: 1000 size: 100
----- l = 0.01
"2" "3" "4" "5" "6"
"2" 38 73 33 0 0
"3" 4 1007 278 22 2
"4" 2 283 1574 103 9
"5" 0 32 265 479 8
"6" 0 4 60 54 38
"7" 0 0 1 1 1
----- l = 0.85
"2" "3" "4" "5" "6"
"1" 0 12 3 0 1
"2" 15 90 37 2 0
"3" 1 937 367 8 0
"4" 0 224 1685 60 2
"5" 0 42 418 320 4
"6" 0 7 74 41 34
"7" 0 0 0 2 1
----- l = 0.86
"2" "3" "4" "5" "6"
"1" 0 8 6 1 1
"2" 52 61 28 2 1
"3" 9 982 284 35 3
"4" 7 271 1510 172 11
"5" 1 31 258 479 15
"6" 0 4 55 41 56
"7" 0 0 1 1 1
----- l = 0.87
"2" "3" "4" "5" "6"
"1" 1 5 8 1 1
"2" 34 58 45 6 1
"3" 6 817 451 32 7
"4" 3 114 1725 120 9
"5" 0 13 287 476 8
"6" 0 2 68 44 42
"7" 0 0 0 1 2
----- l = 0.88
"2" "3" "4" "5" "6"
"1" 0 9 7 0 0
"2" 56 53 34 1 0
"3" 6 906 379 22 0
"4" 9 201 1628 130 3
"5" 1 16 318 442 7
"6" 1 2 74 48 31
"7" 0 0 2 1 0
----- l = 0.89
"2" "3" "4" "5" "6"
"1" 4 5 7 0 0
"2" 58 47 36 2 1
"3" 7 853 435 15 3
"4" 11 145 1734 79 2
"5" 1 23 359 392 9
"6" 0 2 69 39 46
"7" 0 0 1 1 1
----- l = 0.9
"2" "3" "4" "5" "6"
"1" 0 9 5 0 2
"2" 51 50 43 0 0
"3" 7 919 368 12 7
"4" 13 237 1676 42 3
"5" 1 43 407 322 11
"6" 2 3 81 18 52
"7" 0 0 0 2 1
----- l = 0.91
"2" "3" "4" "5" "6"
"1" 0 7 9 0 0
"2" 38 70 35 1 0
"3" 5 849 442 16 1
"4" 2 191 1682 91 5
"5" 0 26 365 388 5
"6" 1 3 71 49 32
"7" 0 0 1 1 1
----- l = 0.92
"2" "3" "4" "5" "6"
"1" 1 8 5 0 2
"2" 58 59 22 5 0
"3" 17 958 293 36 9
"4" 14 274 1510 166 7
"5" 2 24 235 514 9
"6" 0 10 54 42 50
"7" 0 0 0 3 0
----- l = 0.93
"2" "3" "4" "5" "6"
"1" 1 4 8 0 3
"2" 61 41 38 2 2
"3" 6 878 407 19 3
